sample,tipo,MSE,MAE,MAPE,R2
0,Treino,78457.25282348665,180.65636988536852,0.20468295473429243,0.7914419624495445
0,Teste,134181.54581180346,235.81133270263672,0.2833929411301294,0.6414674901856598
1,Treino,76729.50098356283,176.9387541757503,0.19678259380879246,0.7960347377525414
1,Teste,138118.36031460293,236.35920054117838,0.2757300067440372,0.6309483388685193
2,Treino,66757.17509003283,163.40974114646374,0.17777399650774284,0.8225435517030805
2,Teste,124556.43840172542,226.34928728739422,0.25883736474024976,0.6671857355381763
3,Treino,70705.73337677596,167.164752387105,0.18537344266686961,0.8120473446884218
3,Teste,149324.46551422626,238.3370787302653,0.27672652642710865,0.6010056742632122
4,Treino,74637.33275833086,170.54961603012444,0.18169235821141103,0.801596218477102
4,Teste,122219.88342827503,213.5364242553711,0.23099866948769213,0.6734290003171146
5,Treino,69859.07813018138,166.07463005674836,0.18618413075465365,0.8142979556945045
5,Teste,123109.99955029627,225.34799982706707,0.2902086299991049,0.6710506138905483
6,Treino,67804.79768818835,165.9242434255394,0.18509246215042896,0.8197587216803369
6,Teste,158966.14805954136,246.33944040934244,0.28410156290911176,0.5752431402210618
7,Treino,60719.097958981896,168.3342956041506,0.20462051637798995,0.8385941967576992
7,Teste,149526.1865674015,241.75962931315104,0.28982434708090826,0.6004666764819617
8,Treino,69516.90172260425,169.82382273785944,0.1945680018523438,0.815207541965909
8,Teste,126478.13305611504,221.34557342529297,0.24108355570584333,0.6620509757366946
9,Treino,81036.74909808242,178.08258194542827,0.19382763233373662,0.7845850478681897
9,Teste,120801.78880796843,220.91961949666342,0.2497796690589261,0.6772181430065709
10,Treino,76275.3533127835,176.95283420544834,0.1962290372622652,0.7972419702717445
10,Teste,128634.35553428913,232.02248255411783,0.2632498389117516,0.6562895586048474
11,Treino,69166.0995378616,171.55917763150353,0.19396594072635692,0.8161400576044943
11,Teste,119121.98319551047,220.87111282348633,0.25271714757199715,0.6817065763346493
12,Treino,79391.95101011884,178.10245073345345,0.19020986728880931,0.788957312369525
12,Teste,128976.20365601331,233.71176160176594,0.2750513019379486,0.6553761419027551
13,Treino,76201.0584533846,173.01915655001787,0.1879810103964026,0.7974394636776274
13,Teste,126777.6232402077,220.68317209879558,0.25774746856723213,0.6612507392606735
14,Treino,73774.42033162464,172.75880138415127,0.1892851907909746,0.8038900449343787
14,Teste,134164.0879733001,228.07323252360027,0.2580300587468349,0.6415141374546018
15,Treino,75224.77608141018,176.4096245206018,0.19485825445282434,0.8000346544122835
15,Teste,137273.01982202617,234.3529266357422,0.2778315618660972,0.6332070850069511
16,Treino,82689.26865285495,185.0851594808516,0.20437298079973845,0.780192257871674
16,Teste,121131.2913967111,217.63336486816405,0.2478103965741766,0.6763377135151867
17,Treino,75807.19722986042,176.77582752424786,0.19145764476304344,0.7984864404820564
17,Teste,111015.93602566881,208.73955586751302,0.23308823655673874,0.7033658992981286
18,Treino,75950.88062911748,176.95077340927483,0.19545879364875812,0.7981044958345036
18,Teste,133594.97207528257,228.01538683573406,0.2503664869363043,0.6430348126715772
19,Treino,81703.25726382966,181.9839532879037,0.20176033865375567,0.7828133106475106
19,Teste,130733.62265234046,230.38683700561523,0.27780298012045423,0.6506803259488063
20,Treino,87653.28646978218,186.27416385059627,0.20097356827673085,0.7669967179183057
20,Teste,113639.30997773922,212.81669896443685,0.24443403958315818,0.6963562554493645
21,Treino,64021.693586942,163.4690293325505,0.17778138158979198,0.8298151121198557
21,Teste,143322.25987816963,232.4902603149414,0.2558204750270915,0.6170435417516031
22,Treino,72834.89095866826,175.55847429445652,0.2011158746955149,0.8063875374566523
22,Teste,125808.38027519033,224.0885208129883,0.26515990449731064,0.6638405522693489
23,Treino,63923.8046602972,163.38727951049805,0.18688856232337894,0.8300753241678724
23,Teste,140555.40955120165,235.40524574915568,0.2679008937457573,0.6244365538532806
24,Treino,83256.45676901666,187.39841830114804,0.20477935871118264,0.7786845369641531
24,Teste,124686.41454004831,223.59457524617514,0.25389834201293277,0.6668384398589757
25,Treino,72021.79992478077,168.10652708671464,0.18205945055070744,0.8085489268027586
25,Teste,162405.42199545816,258.0043924967448,0.2814842620256409,0.5660534151458061
26,Treino,77020.33297400991,176.91125577828134,0.1939802961462565,0.7952616371531488
26,Teste,123636.90038632657,218.8346071879069,0.24683605275116116,0.6696427371365409
27,Treino,74994.28562728058,179.5124271374913,0.20712598971878723,0.8006473528570727
27,Teste,133389.15839248552,225.65106023152669,0.2681716798782181,0.6435847459414686
28,Treino,63973.55159836388,164.51958981366224,0.1843062420538348,0.8299430849751406
28,Teste,127641.86066750292,218.2916364034017,0.23950309276943782,0.6589415005944397
29,Treino,80309.19894187216,176.58502336958765,0.19238932148704174,0.7865190492171805
29,Teste,131850.03415128717,226.20152791341147,0.25296208104762946,0.6476972792542603
30,Treino,376223.79609401117,475.04712028682513,0.6860940918103862,-9.232759754351783e-05
30,Teste,374572.19795979385,483.18284810384114,0.746429220903093,-0.0008552921990947482
31,Treino,70849.45210317156,174.40392915967485,0.1954849212308312,0.8116653061329328
31,Teste,119354.73320109531,222.51821950276693,0.2618158226178691,0.6810846693268207
32,Treino,60351.05168951637,159.43798204878686,0.19024582478338495,0.8395725512746511
32,Teste,126502.73606042644,221.46733576456705,0.267652614047371,0.6619852366156301
33,Treino,65288.65017117072,161.8635986041575,0.18107307333274184,0.8264472401977678
33,Teste,129618.19930390405,225.1988098144531,0.27230048958708636,0.6536607323094643
34,Treino,79263.47434209919,179.63479202342145,0.19462474787260858,0.7892988339088209
