tipo,MSE,MAE,MAPE,R2
Treino,97373.84993493314,194.83062956336175,0.1974276028962004,0.7468588727752865
Validation,57146.943287918846,157.94122814741294,0.23035338354334717,0.7387467518269648
Teste,118977.63542961488,211.15486882527668,0.2327360101658416,0.682092272940539
