tipo,MSE,MAE,MAPE,R2
Treino,875.538711577032,19.664726140611016,0.15674688126504235,0.8778898828365744
Validation,952.7448549524274,22.711018881348313,0.2311739349721942,0.7377998536126864
Teste,4254.627456894576,41.03348306380212,0.29759872209562244,0.3838844774832517
