tipo,MSE,MAE,MAPE,R2
Treino,24212.321039682884,105.46914433036592,0.13425120699035403,0.9370556443561843
Validation,187894.33609414118,275.525250966737,0.3677374857904185,0.14102132513730115
Teste,213772.8873049542,319.97386954963827,0.3731707794875426,0.4287997701025055
